id,name,code,description,title_img,controller,action,params,route_path,parent_id,children_count,position,depth,created_at,updated_at,created_by,updated_by,status
1,系统菜单,root,系统菜单,root,,,,,,0,10,0,,,,,Y
10,首页,home,首页,home,main,,,,1,0,10,1,,,,,Y
21,协同办公,oa,协同办公,home,,,,,1,3,22,1,,,,,Y
211,公文管理,document,公文管理,files-o,,,,,21,2,30,2,,,,,Y
2111,发文,oa_sent_documents,发文,,oa/sent_documents,index,,,211,0,40,3,,,,,Y
2112,收文,oa_recv_documents,收文,,oa/recv_documents,index,,,211,0,41,3,,,,,Y
30,三重一大,dashboard,三重一大,dashboard,,,,,1,5,30,1,,,,,Y
301,重大决策事项,rad_first,重大决策事项,,,,,,30,0,10,2,,,,,Y
302,重要人事任免事项,rad_second,重要人事任免事项,,,,,,30,0,20,2,,,,,Y
303,重大项目安排事项,rad_third,重大项目安排事项,,,,,,30,0,30,2,,,,,Y
304,大额度资金运作,rad_forth,大额度资金运作事项,,,,,,30,0,40,2,,,,,Y
3031,年度投资,rad_investment,年度投资计划,,rad/investments,index,,,303,0,10,3,,,,,Y
31,网络报表,jq_index,网络报表,file-excel-o,fdn/organizations,jq_index,,,1,0,12,1,,,,,Y
32,企业财务报表,financial_statement,企业财务报表,table,,,,,1,6,15,1,,,,,Y
321,财务月报,financial_month,财务月报,,aae/financial_statements,index,,,32,0,10,2,,,,,Y
322,财务年报,financial_year,财务年报,,aae/financial_statements,year_index,,,32,0,20,2,,,,,Y
323,财务月报分析,month_analysis,财务月报分析,,aae/financial_statements,month_analysis,,,32,0,30,2,,,,,Y
324,财务年报分析,year_analysis,财务年报分析,,aae/financial_statements,year_analysis,,,32,0,40,2,,,,,Y
325,财务预警分析,financial_warning,财务预警分析,,aae/financial_statements,financial_warning,,,32,0,50,2,,,,,Y
326,财务汇总分析,financial_analysis,财务汇总分析,,aae/financial_statements,financial_analysis,,,32,0,60,2,,,,,Y
33,企业发债,corporate_bond,企业发债,table,,,,,1,3,11,1,,,,,Y
331,企业发债信息,rad_corporate_bond,企业发债信息,,rad/corporate_bonds,index,,,33,0,10,2,,,,,Y
332,企业发债查询,corporate_bond_search,企业发债查询,,rad/corporate_bonds,search_index,,,33,0,20,2,,,,,Y
333,企业发债分析,corporate_bond_analysis,企业发债,,rad/corporate_bonds,analysis_index,,,33,0,30,2,,,,,Y
34,企业人才,hr_ent_talent,企业人才,table,,,,,1,4,13,1,,,,,Y
341,企业人才信息,ent_talents,企业人才信息,,hr/ent_talents,index,,,34,0,10,2,,,,,Y
342,企业人才查询,talent_search,企业人才查询,,hr/ent_talents,search_index,,,34,0,20,2,,,,,Y
343,企业人才分析,talent_analysis,企业人才分析,,hr/ent_talents,analysis_index,,,34,0,30,2,,,,,Y
344,基础设置,talent_base,基础设置,table,hr/ent_talents,base_index,,,34,0,50,2,,,,,Y
345,人才审核,talent_reviewed,人才审核,table,hr/ent_talents,reviewed_index,,,34,0,40,2,,,,,Y
35,培训管理,hr_training_courses,培训管理,table,,,,,1,2,35,1,,,,,Y
351,培训班,training_courses,培训班,,hr/training_courses,index,,,35,0,10,2,,,,,Y
352,培训信息,training_infos,培训信息,,hr/training_infos,index,,,35,0,20,2,,,,,Y
39,企业负责人,dashboard,企业负责人,dashboard,,,,,1,4,39,1,,,,,Y
391,负责人信息,hr_ent_manager,负责人信息,,hr/ent_managers,index,,,39,0,10,2,,,,,Y
394,车辆信息,hr_ent_car,车辆信息,,hr/ent_cars,index,,,39,0,40,2,,,,,Y
40,项目,project,项目,folder,,,,,1,8,40,1,,,,,Y
401,任务分配,task,任务分配,,pm/tasks,index,,,40,0,10,2,,,,,N
402,计划填报,plan,计划填报,,pm/plans,index,,,40,0,20,2,,,,,Y
403,计划审核,plan_review,计划审核,,pm/plan_reviews,index,,,40,0,30,2,,,,,N
404,进度填报,progress,进度填报,,pm/progresses,index,,,40,0,40,2,,,,,Y
405,进度审核,progress_review,进度审核,,pm/progress_reviews,index,,,40,0,50,2,,,,,N
406,动态填报,development,动态填报,,pm/developments,index,,,40,0,60,2,,,,,N
407,项目统计,project_statistic,项目统计,,pm/statistics,index,,,40,0,70,2,,,,,Y
50,知识库,wiki,知识库,book,,,,,1,0,50,1,,,,,Y
501,企业薪酬管理,labor_cost,企业薪酬管理,rmb,,,,,1,4,14,1,,,,,Y
5011,职工工资总额预算,salary_budget,职工工资总额预算,bar-chart-o,hr/salary_budgets,,,,501,4,1,2,,,,,Y
5012,职工工资发放,salary,职工工资发放,bar-chart-o,hr/salaries,index,,,501,0,2,2,,,,,Y
5013,人工成本预警分析,early_warning,人工成本预警分析,warning,hr/early_warnings,index,,,501,0,3,2,,,,,Y
5014,领导人薪酬,leader_salary,领导人薪酬,money,hr/leader_salaries,index,,,501,0,4,2,,,,,Y
5015,上报,salary_budget_submit,上报,,hr/salary_budgets,salary_submit,,,5011,0,1,3,,,,,Y
5016,审核,salary_budget_review,审核,,hr/salary_budgets,salary_review,,,5011,0,2,3,,,,,Y
5017,备案,salary_budget_record,备案,,hr/salary_budgets,salary_record,,,5011,0,3,3,,,,,Y
5018,查询,salary_budget_search,查询,,hr/salary_budgets,index,,,5011,0,4,3,,,,,Y
502,企业人员管理,hr,企业人员管理,users,,,,,1,1,56,1,,,,,Y
5021,企业人员信息,hr_person,企业人员信息,,hr/people,index,,,502,0,1,2,,,,,Y
5022,人员变动历史,hr_person_history,人员变动历史,,hr/person_histories,index,,,502,0,2,2,,,,,Y
60,信息与交流,communication,信息与交流,comments-o,,,,,1,0,60,1,,,,,Y
70,信箱,notification,信箱,envelope-o,fdn/messages,index,,,1,0,70,1,,,,,Y
80,回收站,recycling,回收站,trash-o,,,,,1,0,80,1,,,,,Y
100,系统设置,setting,系统设置,gear,,,,,1,7,100,1,,,,,Y
1001,用户管理,fdn_users,用户管理,users,fdn/users,index,,,100,0,10,2,,,,,Y
1002,组织管理,fdn_organizations,组织管理,,,,,,100,2,20,2,,,,,Y
10021,组织维护,fdn_organizations_list,组织维护,,fdn/organizations,ent_index,,,1002,0,10,3,,,,,Y
10022,组织架构,fdn_organizations_tree,组织架构,,fdn/org_hierarchies,index,,,1002,0,20,3,,,,,Y
10023,历史变更,fdn_organizations_tree_history,历史变更,,fdn/organizations,index,,,1002,0,30,3,,,,,Y
1003,权限管理,fdn_roles,权限管理,,fdn/roles,index,,,100,0,30,2,,,,,Y
1004,系统日志,fdn_loggers,系统日志,,fdn/loggers,index,,,100,0,40,2,,,,,Y
1005,功能菜单,fdn_menus,功能菜单,,fdn/menus,index,,,100,0,50,2,,,,,Y
1006,系统公告,fdn_announcements,系统公告,,fdn/announcements,index,,,100,0,60,2,,,,,Y
1007,系统参数,param,系统参数,,,,,,100,1,70,2,,,,,Y
10071,值列表,lookups,值列表,,fdn/lookups,index,,,1007,0,10,3,,,,,Y
1008,首页动态,fdn_legends,首页动态,,,,,,100,2,80,2,,,,,Y
10081,栏目管理,fdn_legend_categories,栏目管理,,fdn/legend_categories,index,,,1008,0,10,3,,,,,Y
10082,动态新闻,fdn_legends,动态新闻,,fdn/legends,index,,,1008,0,20,3,,,,,Y
10083,门户显示,fdn_legend_menhu,门户显示,,fdn/legend_categories,show_menhu,,,1008,0,20,3,,,,,Y
