id,code,name,major_class,minor_class,status
1,3,省部级正职,公务员,公务员,Y
2,4,省部级副职,公务员,公务员,Y
3,5,厅局级正职领导职务,公务员,公务员,Y
4,6,厅局级正职非领导职务,公务员,公务员,Y
5,7,厅局级副职领导职务,公务员,公务员,Y
6,8,厅局级副职非领导职务,公务员,公务员,Y
7,9,县处级正职领导职务,公务员,公务员,Y
8,10,县处级正职非领导职务,公务员,公务员,Y
9,11,县处级副职领导职务,公务员,公务员,Y
10,12,县处级副职非领导职务,公务员,公务员,Y
11,13,乡科级正职领导职务,公务员,公务员,Y
12,14,乡科级正职非领导职务,公务员,公务员,Y
13,15,乡科级副职领导职务,公务员,公务员,Y
14,16,乡科级副职非领导职务,公务员,公务员,Y
15,17,科员级,公务员,公务员,Y
16,18,办事员级,公务员,公务员,Y
17,21,股级,公务员,公务员,Y
18,22,副股级,公务员,公务员,Y
19,0,未按上述级别管理,公务员,公务员,Y
20,999,其他,公务员,公务员,Y
30,101,一级职员（正部级）,管理,管理岗位,Y
31,102,二级职员（副部级）,管理,管理岗位,Y
32,103,三级职员（正局级）,管理,管理岗位,Y
33,104,四级职员（副局级）,管理,管理岗位,Y
34,105,五级职员（正处级）,管理,管理岗位,Y
35,106,六级职员（副处级）,管理,管理岗位,Y
36,107,七级职员（正科级）,管理,管理岗位,Y
37,108,八级职员（副科级）,管理,管理岗位,Y
38,109,九级职员（科员）,管理,管理岗位,Y
39,110,十级职员（办事员）,管理,管理岗位,Y
40,199,未按上述级别管理（管理）,管理,其他,Y
50,201,正高一级,专技,高级岗位,Y
51,202,正高二级,专技,高级岗位,Y
52,203,正高三级,专技,高级岗位,Y
53,204,正高四级,专技,高级岗位,Y
54,205,副高五级,专技,高级岗位,Y
55,206,副高六级,专技,高级岗位,Y
56,207,副高七级,专技,高级岗位,Y
57,208,中级八级,专技,中级岗位,Y
58,209,中级九级,专技,中级岗位,Y
59,210,中级十级,专技,中级岗位,Y
60,211,助级十一级,专技,初级岗位,Y
61,212,助级十二级,专技,初级岗位,Y
62,213,员级十三级,专技,初级岗位,Y
63,299,未按上述级别管理（专技）,专技,其他,Y
80,301,高级技师,工勤,技术岗位,Y
81,302,技师,工勤,技术岗位,Y
82,303,高级技工,工勤,技术岗位,Y
83,304,中级技工,工勤,技术岗位,Y
84,305,初级技工,工勤,技术岗位,Y
85,306,普通工人,工勤,普通工岗位,Y
86,399,未按上述级别管理（工勤）,工勤,其他,Y