id,title_code,major_class,minor_class,name,parent_id
1,1,军衔,,,
2,11,军衔,元帅,,1
3,110,军衔,元帅,中华人民共和国大元帅（曾经实行的）,2
4,111,军衔,元帅,中华人民共和国元帅（曾经实行的）,2
5,12,军衔,将官,,1
6,120,军衔,将官,大将（曾经实行的）,5
7,121,军衔,将官,一级上将（曾经实行的）,5
8,122,军衔,将官,上将,5
9,123,军衔,将官,中将,5
10,124,军衔,将官,少将,5
11,13,军衔,校官,,1
12,131,军衔,校官,大校,11
13,132,军衔,校官,上校,11
14,133,军衔,校官,中校,11
15,134,军衔,校官,少校,11
16,14,军衔,尉官,,1
17,141,军衔,尉官,大尉（曾经实行的）,16
18,142,军衔,尉官,上尉,16
19,143,军衔,尉官,中尉,16
20,144,军衔,尉官,少尉,16
21,145,军衔,尉官,准尉（曾经实行的）,16
22,15,军衔,士官,,1
23,151,军衔,士官,六级士官,22
24,152,军衔,士官,五级士官,22
25,153,军衔,士官,四级士官,22
26,154,军衔,士官,三级士官,22
27,155,军衔,士官,二级士官,22
28,156,军衔,士官,一级士官,22
29,17,军衔,士兵,,1
30,171,军衔,士兵,上等兵,29
31,172,军衔,士兵,列兵,29
32,181,军衔,学员衔,,1
33,18,军衔,学员衔,学员衔,32
34,191,军衔,未授衔,,1
35,19,军衔,未授衔,未授衔,34
36,2,警衔,,,
37,20,警衔,总警监,,36
38,201,警衔,总警监,总警监,37
39,202,警衔,总警监,副总警监,37
40,21,警衔,警监,,36
41,211,警衔,警监,一级警监,40
42,212,警衔,警监,二级警监,40
43,213,警衔,警监,三级警监,40
44,22,警衔,警督,,36
45,221,警衔,警督,一级警督,44
46,222,警衔,警督,二级警督,44
47,223,警衔,警督,三级警督,44
48,23,警衔,警司,,36
49,231,警衔,警司,一级警司,48
50,232,警衔,警司,二级警司,48
51,233,警衔,警司,三级警司,48
52,24,警衔,警员,,36
53,241,警衔,警员,一级警员,52
54,242,警衔,警员,二级警员,52
55,3,海关关衔,,,
56,30,海关关衔,海关总监,,55
57,301,海关关衔,海关总监,海关总监,56
58,302,海关关衔,海关总监,海关副总监,56
59,31,海关关衔,关务监督,,55
60,311,海关关衔,关务监督,一级关务监督,59
61,312,海关关衔,关务监督,二级关务监督,59
62,313,海关关衔,关务监督,三级关务监督,59
63,32,海关关衔,关务督察,,55
64,321,海关关衔,关务督察,一级关务督察,63
65,322,海关关衔,关务督察,二级关务督察,63
66,323,海关关衔,关务督察,三级关务督察,63
67,33,海关关衔,关务督办,,55
68,331,海关关衔,关务督办,一级关务督办,67
69,332,海关关衔,关务督办,二级关务督办,67
70,333,海关关衔,关务督办,三级关务督办,67
71,34,海关关衔,关务员,,55
72,341,海关关衔,关务员,一级关务员,71
73,342,海关关衔,关务员,二级关务员,71
74,4,法官等级,,,
75,40,法官等级,首席大法官,,74
76,401,法官等级,首席大法官,首席大法官,75
77,41,法官等级,大法官,,74
78,411,法官等级,大法官,一级大法官,77
79,412,法官等级,大法官,二级大法官,77
80,42,法官等级,高级法官,,74
81,421,法官等级,高级法官,一级高级法官,80
82,422,法官等级,高级法官,二级高级法官,80
83,423,法官等级,高级法官,三级高级法官,80
84,424,法官等级,高级法官,四级高级法官,80
85,43,法官等级,法官,,74
86,431,法官等级,法官,一级法官,85
87,432,法官等级,法官,二级法官,85
88,433,法官等级,法官,三级法官,85
89,434,法官等级,法官,四级法官,85
90,435,法官等级,法官,五级法官,85
91,5,检察官等级,,,
92,50,检察官等级,首席大检察官,,91
93,501,检察官等级,首席大检察官,首席大检察官,92
94,51,检察官等级,大检察官,,91
95,511,检察官等级,大检察官,一级大检察官,94
96,512,检察官等级,大检察官,二级大检察官,94
97,52,检察官等级,高级检察官,,91
98,521,检察官等级,高级检察官,一级高级检察官,97
99,522,检察官等级,高级检察官,二级高级检察官,97
100,523,检察官等级,高级检察官,三级高级检察官,97
101,524,检察官等级,高级检察官,四级高级检察官,97
102,53,检察官等级,检察官,,91
103,531,检察官等级,检察官,一级检察官,102
104,532,检察官等级,检察官,二级检察官,102
105,533,检察官等级,检察官,三级检察官,102
106,534,检察官等级,检察官,四级检察官,102
107,535,检察官等级,检察官,五级检察官,102